    442.10      240.81        0.66       28.85        0.05        0.04     1137.99
   1097.40      293.96        0.68       32.20        0.02        0.02     2824.77
   1893.57      350.72        0.70       32.54        0.01        0.01     4874.14
    221.22      509.73        1.52       28.76        0.20        0.19      569.42
   1630.94      608.17        0.79       28.63        0.02        0.01     4198.11
    174.32      767.20        0.79       12.96        0.07        0.06      448.71
     51.57      784.57        0.88       11.41        0.23        0.18      132.75
     74.81      910.08        0.85       12.39        0.17        0.16      192.58
    135.84      933.04        1.09       15.04        0.13        0.14      349.67
    499.68     1119.21        1.01       18.72        0.04        0.04     1286.20
    184.89     1237.04        0.83       12.56        0.06        0.06      475.92
    141.86     1376.63        0.88       13.96        0.11        0.08      365.15
   1657.31     1459.65        1.08       26.98        0.02        0.02     4266.01
     85.29     1508.25        1.20       12.37        0.22        0.14      219.53
     31.39     1660.29        1.02        6.07        0.23        0.22       80.81
    105.57     1728.41        1.04        9.90        0.11        0.08      271.75
    579.93     1763.32        1.19       20.18        0.05        0.03     1492.77
     87.87     1846.10        1.31        7.57        0.13        0.09      226.18
     44.56     2101.38        1.50        8.17        0.37        0.22      114.70
     49.90     2117.41        1.48        6.09        0.20        0.17      128.45
    149.03     2202.93        1.09        9.68        0.08        0.06      383.61
     54.76     2446.58        1.37        5.85        0.17        0.17      140.95
    424.82     2613.33        1.52       14.95        0.06        0.05     1093.52
